survived,sex,age,class,fare,adult_minor,dataset,age_was_imputed,sibsp,parch,embarked
False,male,22.0,Third,7.25,N/A,Titanic,False,1,0,S
True,female,38.0,First,71.2833,N/A,Titanic,False,1,0,C
True,female,26.0,Third,7.925,N/A,Titanic,False,0,0,S
True,female,35.0,First,53.1,N/A,Titanic,False,1,0,S
False,male,35.0,Third,8.05,N/A,Titanic,False,0,0,S
False,male,25.0,Third,8.4583,N/A,Titanic,False,0,0,Q
False,male,54.0,First,51.8625,N/A,Titanic,False,0,0,S
False,male,2.0,Third,21.075,N/A,Titanic,False,3,1,S
True,female,27.0,Third,11.1333,N/A,Titanic,False,0,2,S
True,female,14.0,Second,30.0708,N/A,Titanic,False,1,0,C
True,female,4.0,Third,16.7,N/A,Titanic,False,1,1,S
True,female,58.0,First,26.55,N/A,Titanic,False,0,0,S
False,male,20.0,Third,8.05,N/A,Titanic,False,0,0,S
False,male,39.0,Third,31.275,N/A,Titanic,False,1,5,S
False,female,14.0,Third,7.8542,N/A,Titanic,False,0,0,S
True,female,55.0,Second,16.0,N/A,Titanic,False,0,0,S
False,male,2.0,Third,29.125,N/A,Titanic,False,4,1,Q
True,male,30.0,Second,13.0,N/A,Titanic,False,0,0,S
False,female,31.0,Third,18.0,N/A,Titanic,False,1,0,S
True,female,21.5,Third,7.225,N/A,Titanic,False,0,0,C
False,male,35.0,Second,26.0,N/A,Titanic,False,0,0,S
True,male,34.0,Second,13.0,N/A,Titanic,False,0,0,S
True,female,15.0,Third,8.0292,N/A,Titanic,False,0,0,Q
True,male,28.0,First,35.5,N/A,Titanic,False,0,0,S
False,female,8.0,Third,21.075,N/A,Titanic,False,3,1,S
True,female,38.0,Third,31.3875,N/A,Titanic,False,1,5,S
False,male,25.0,Third,7.225,N/A,Titanic,False,0,0,C
False,male,19.0,First,263.0,N/A,Titanic,False,3,2,S
True,female,21.5,Third,7.8792,N/A,Titanic,False,0,0,Q
False,male,25.0,Third,7.8958,N/A,Titanic,False,0,0,S
False,male,40.0,First,27.7208,N/A,Titanic,False,0,0,C
True,female,35.0,First,146.5208,N/A,Titanic,False,1,0,C
True,female,21.5,Third,7.75,N/A,Titanic,False,0,0,Q
False,male,66.0,Second,10.5,N/A,Titanic,False,0,0,S
False,male,28.0,First,82.1708,N/A,Titanic,False,1,0,C
False,male,42.0,First,52.0,N/A,Titanic,False,1,0,S
True,male,25.0,Third,7.2292,N/A,Titanic,False,0,0,C
False,male,21.0,Third,8.05,N/A,Titanic,False,0,0,S
False,female,18.0,Third,18.0,N/A,Titanic,False,2,0,S
True,female,14.0,Third,11.2417,N/A,Titanic,False,1,0,C
False,female,40.0,Third,9.475,N/A,Titanic,False,1,0,S
False,female,27.0,Second,21.0,N/A,Titanic,False,1,0,S
False,male,25.0,Third,7.8958,N/A,Titanic,False,0,0,C
True,female,3.0,Second,41.5792,N/A,Titanic,False,1,2,C
True,female,19.0,Third,7.8792,N/A,Titanic,False,0,0,Q
False,male,25.0,Third,8.05,N/A,Titanic,False,0,0,S
False,male,25.0,Third,15.5,N/A,Titanic,False,1,0,Q
True,female,21.5,Third,7.75,N/A,Titanic,False,0,0,Q
False,male,25.0,Third,21.6792,N/A,Titanic,False,2,0,C
False,female,18.0,Third,17.8,N/A,Titanic,False,1,0,S
False,male,7.0,Third,39.6875,N/A,Titanic,False,4,1,S
False,male,21.0,Third,7.8,N/A,Titanic,False,0,0,S
True,female,49.0,First,76.7292,N/A,Titanic,False,1,0,C
True,female,29.0,Second,26.0,N/A,Titanic,False,1,0,S
False,male,65.0,First,61.9792,N/A,Titanic,False,0,1,C
True,male,40.0,First,35.5,N/A,Titanic,False,0,0,S
True,female,21.0,Second,10.5,N/A,Titanic,False,0,0,S
False,male,28.5,Third,7.2292,N/A,Titanic,False,0,0,C
True,female,5.0,Second,27.75,N/A,Titanic,False,1,2,S
False,male,11.0,Third,46.9,N/A,Titanic,False,5,2,S
False,male,22.0,Third,7.2292,N/A,Titanic,False,0,0,C
False,male,45.0,First,83.475,N/A,Titanic,False,1,0,S
False,male,4.0,Third,27.9,N/A,Titanic,False,3,2,S
False,male,40.0,First,27.7208,N/A,Titanic,False,0,0,C
True,male,25.0,Third,15.2458,N/A,Titanic,False,1,1,C
True,female,29.0,Second,10.5,N/A,Titanic,False,0,0,S
False,male,19.0,Third,8.1583,N/A,Titanic,False,0,0,S
True,female,17.0,Third,7.925,N/A,Titanic,False,4,2,S
False,male,26.0,Third,8.6625,N/A,Titanic,False,2,0,S
False,male,32.0,Second,10.5,N/A,Titanic,False,0,0,S
False,female,16.0,Third,46.9,N/A,Titanic,False,5,2,S
False,male,21.0,Second,73.5,N/A,Titanic,False,0,0,S
False,male,26.0,Third,14.4542,N/A,Titanic,False,1,0,C
True,male,32.0,Third,56.4958,N/A,Titanic,False,0,0,S
False,male,25.0,Third,7.65,N/A,Titanic,False,0,0,S
False,male,25.0,Third,7.8958,N/A,Titanic,False,0,0,S
False,male,25.0,Third,8.05,N/A,Titanic,False,0,0,S
True,male,0.83,Second,29.0,N/A,Titanic,False,0,2,S
True,female,30.0,Third,12.475,N/A,Titanic,False,0,0,S
False,male,22.0,Third,9.0,N/A,Titanic,False,0,0,S
True,male,29.0,Third,9.5,N/A,Titanic,False,0,0,S
True,female,21.5,Third,7.7875,N/A,Titanic,False,0,0,Q
False,male,28.0,First,47.1,N/A,Titanic,False,0,0,S
True,female,17.0,Second,10.5,N/A,Titanic,False,0,0,S
True,female,33.0,Third,15.85,N/A,Titanic,False,3,0,S
False,male,16.0,Third,34.375,N/A,Titanic,False,1,3,S
False,male,25.0,Third,8.05,N/A,Titanic,False,0,0,S
True,female,23.0,First,263.0,N/A,Titanic,False,3,2,S
False,male,24.0,Third,8.05,N/A,Titanic,False,0,0,S
False,male,29.0,Third,8.05,N/A,Titanic,False,0,0,S
False,male,20.0,Third,7.8542,N/A,Titanic,False,0,0,S
False,male,46.0,First,61.175,N/A,Titanic,False,1,0,S
False,male,26.0,Third,20.575,N/A,Titanic,False,1,2,S
False,male,59.0,Third,7.25,N/A,Titanic,False,0,0,S
False,male,25.0,Third,8.05,N/A,Titanic,False,0,0,S
False,male,71.0,First,34.6542,N/A,Titanic,False,0,0,C
True,male,23.0,First,63.3583,N/A,Titanic,False,0,1,C
True,female,34.0,Second,23.0,N/A,Titanic,False,0,1,S
False,male,34.0,Second,26.0,N/A,Titanic,False,1,0,S
False,female,28.0,Third,7.8958,N/A,Titanic,False,0,0,S
False,male,25.0,Third,7.8958,N/A,Titanic,False,0,0,S
False,male,21.0,First,77.2875,N/A,Titanic,False,0,1,S
False,male,33.0,Third,8.6542,N/A,Titanic,False,0,0,S
False,male,37.0,Third,7.925,N/A,Titanic,False,2,0,S
False,male,28.0,Third,7.8958,N/A,Titanic,False,0,0,S
True,female,21.0,Third,7.65,N/A,Titanic,False,0,0,S
True,male,25.0,Third,7.775,N/A,Titanic,False,0,0,S
False,male,38.0,Third,7.8958,N/A,Titanic,False,0,0,S
True,female,21.5,Third,24.15,N/A,Titanic,False,1,0,Q
False,male,47.0,First,52.0,N/A,Titanic,False,0,0,S
False,female,14.5,Third,14.4542,N/A,Titanic,False,1,0,C
False,male,22.0,Third,8.05,N/A,Titanic,False,0,0,S
False,female,20.0,Third,9.825,N/A,Titanic,False,1,0,S
False,female,17.0,Third,14.4583,N/A,Titanic,False,0,0,C
False,male,21.0,Third,7.925,N/A,Titanic,False,0,0,S
False,male,70.5,Third,7.75,N/A,Titanic,False,0,0,Q
False,male,29.0,Second,21.0,N/A,Titanic,False,1,0,S
False,male,24.0,First,247.5208,N/A,Titanic,False,0,1,C
False,female,2.0,Third,31.275,N/A,Titanic,False,4,2,S
False,male,21.0,Second,73.5,N/A,Titanic,False,2,0,S
False,male,25.0,Third,8.05,N/A,Titanic,False,0,0,S
False,male,32.5,Second,30.0708,N/A,Titanic,False,1,0,C
True,female,32.5,Second,13.0,N/A,Titanic,False,0,0,S
False,male,54.0,First,77.2875,N/A,Titanic,False,0,1,S
True,male,12.0,Third,11.2417,N/A,Titanic,False,1,0,C
False,male,25.0,Third,7.75,N/A,Titanic,False,0,0,Q
True,male,24.0,Third,7.1417,N/A,Titanic,False,0,0,S
True,female,21.5,Third,22.3583,N/A,Titanic,False,1,1,C
False,male,45.0,Third,6.975,N/A,Titanic,False,0,0,S
False,male,33.0,Third,7.8958,N/A,Titanic,False,0,0,C
False,male,20.0,Third,7.05,N/A,Titanic,False,0,0,S
False,female,47.0,Third,14.5,N/A,Titanic,False,1,0,S
True,female,29.0,Second,26.0,N/A,Titanic,False,1,0,S
False,male,25.0,Second,13.0,N/A,Titanic,False,0,0,S
False,male,23.0,Second,15.0458,N/A,Titanic,False,0,0,C
True,female,19.0,First,26.2833,N/A,Titanic,False,0,2,S
False,male,37.0,First,53.1,N/A,Titanic,False,1,0,S
False,male,16.0,Third,9.2167,N/A,Titanic,False,0,0,S
False,male,24.0,First,79.2,N/A,Titanic,False,0,0,C
False,female,21.5,Third,15.2458,N/A,Titanic,False,0,2,C
True,female,22.0,Third,7.75,N/A,Titanic,False,0,0,S
True,female,24.0,Third,15.85,N/A,Titanic,False,1,0,S
False,male,19.0,Third,6.75,N/A,Titanic,False,0,0,Q
False,male,18.0,Second,11.5,N/A,Titanic,False,0,0,S
False,male,19.0,Second,36.75,N/A,Titanic,False,1,1,S
True,male,27.0,Third,7.7958,N/A,Titanic,False,0,0,S
False,female,9.0,Third,34.375,N/A,Titanic,False,2,2,S
False,male,36.5,Second,26.0,N/A,Titanic,False,0,2,S
False,male,42.0,Second,13.0,N/A,Titanic,False,0,0,S
False,male,51.0,Second,12.525,N/A,Titanic,False,0,0,S
True,female,22.0,First,66.6,N/A,Titanic,False,1,0,S
False,male,55.5,Third,8.05,N/A,Titanic,False,0,0,S
False,male,40.5,Third,14.5,N/A,Titanic,False,0,2,S
False,male,25.0,Third,7.3125,N/A,Titanic,False,0,0,S
False,male,51.0,First,61.3792,N/A,Titanic,False,0,1,C
True,female,16.0,Third,7.7333,N/A,Titanic,False,0,0,Q
False,male,30.0,Third,8.05,N/A,Titanic,False,0,0,S
False,male,25.0,Third,8.6625,N/A,Titanic,False,0,0,S
False,male,25.0,Third,69.55,N/A,Titanic,False,8,2,S
False,male,44.0,Third,16.1,N/A,Titanic,False,0,1,S
True,female,40.0,Second,15.75,N/A,Titanic,False,0,0,S
False,male,26.0,Third,7.775,N/A,Titanic,False,0,0,S
False,male,17.0,Third,8.6625,N/A,Titanic,False,0,0,S
False,male,1.0,Third,39.6875,N/A,Titanic,False,4,1,S
True,male,9.0,Third,20.525,N/A,Titanic,False,0,2,S
True,female,35.0,First,55.0,N/A,Titanic,False,0,1,S
False,female,45.0,Third,27.9,N/A,Titanic,False,1,4,S
False,male,40.0,First,25.925,N/A,Titanic,False,0,0,S
False,male,28.0,Third,56.4958,N/A,Titanic,False,0,0,S
False,male,61.0,First,33.5,N/A,Titanic,False,0,0,S
False,male,4.0,Third,29.125,N/A,Titanic,False,4,1,Q
True,female,1.0,Third,11.1333,N/A,Titanic,False,1,1,S
False,male,21.0,Third,7.925,N/A,Titanic,False,0,0,S
False,male,56.0,First,30.6958,N/A,Titanic,False,0,0,C
False,male,18.0,Third,7.8542,N/A,Titanic,False,1,1,S
False,male,25.0,Third,25.4667,N/A,Titanic,False,3,1,S
False,female,50.0,First,28.7125,N/A,Titanic,False,0,0,C
False,male,30.0,Second,13.0,N/A,Titanic,False,0,0,S
False,male,36.0,Third,0.0,N/A,Titanic,False,0,0,S
False,female,21.5,Third,69.55,N/A,Titanic,False,8,2,S
False,male,30.0,Second,15.05,N/A,Titanic,False,0,0,C
False,male,9.0,Third,31.3875,N/A,Titanic,False,4,2,S
True,male,1.0,Second,39.0,N/A,Titanic,False,2,1,S
True,female,4.0,Third,22.025,N/A,Titanic,False,0,2,S
False,male,40.0,First,50.0,N/A,Titanic,False,0,0,S
True,female,21.5,Third,15.5,N/A,Titanic,False,1,0,Q
True,male,45.0,First,26.55,N/A,Titanic,False,0,0,S
False,male,40.0,Third,15.5,N/A,Titanic,False,1,1,Q
False,male,36.0,Third,7.8958,N/A,Titanic,False,0,0,S
True,female,32.0,Second,13.0,N/A,Titanic,False,0,0,S
False,male,19.0,Second,13.0,N/A,Titanic,False,0,0,S
True,female,19.0,Third,7.8542,N/A,Titanic,False,1,0,S
True,male,3.0,Second,26.0,N/A,Titanic,False,1,1,S
True,female,44.0,First,27.7208,N/A,Titanic,False,0,0,C
True,female,58.0,First,146.5208,N/A,Titanic,False,0,0,C
False,male,25.0,Third,7.75,N/A,Titanic,False,0,0,Q
False,male,42.0,Third,8.4042,N/A,Titanic,False,0,1,S
True,female,21.5,Third,7.75,N/A,Titanic,False,0,0,Q
False,female,24.0,Second,13.0,N/A,Titanic,False,0,0,S
False,male,28.0,Third,9.5,N/A,Titanic,False,0,0,S
False,male,25.0,Third,69.55,N/A,Titanic,False,8,2,S
False,male,34.0,Third,6.4958,N/A,Titanic,False,0,0,S
False,male,45.5,Third,7.225,N/A,Titanic,False,0,0,C
True,male,18.0,Third,8.05,N/A,Titanic,False,0,0,S
False,female,2.0,Third,10.4625,N/A,Titanic,False,0,1,S
False,male,32.0,Third,15.85,N/A,Titanic,False,1,0,S
True,male,26.0,Third,18.7875,N/A,Titanic,False,0,0,C
True,female,16.0,Third,7.75,N/A,Titanic,False,0,0,Q
True,male,40.0,First,31.0,N/A,Titanic,False,0,0,C
False,male,24.0,Third,7.05,N/A,Titanic,False,0,0,S
True,female,35.0,Second,21.0,N/A,Titanic,False,0,0,S
False,male,22.0,Third,7.25,N/A,Titanic,False,0,0,S
False,male,30.0,Second,13.0,N/A,Titanic,False,0,0,S
False,male,25.0,Third,7.75,N/A,Titanic,False,1,0,Q
True,female,31.0,First,113.275,N/A,Titanic,False,1,0,C
True,female,27.0,Third,7.925,N/A,Titanic,False,0,0,S
False,male,42.0,Second,27.0,N/A,Titanic,False,1,0,S
True,female,32.0,First,76.2917,N/A,Titanic,False,0,0,C
False,male,30.0,Second,10.5,N/A,Titanic,False,0,0,S
True,male,16.0,Third,8.05,N/A,Titanic,False,0,0,S
False,male,27.0,Second,13.0,N/A,Titanic,False,0,0,S
False,male,51.0,Third,8.05,N/A,Titanic,False,0,0,S
False,male,25.0,Third,7.8958,N/A,Titanic,False,0,0,S
True,male,38.0,First,90.0,N/A,Titanic,False,1,0,S
False,male,22.0,Third,9.35,N/A,Titanic,False,0,0,S
True,male,19.0,Second,10.5,N/A,Titanic,False,0,0,S
False,male,20.5,Third,7.25,N/A,Titanic,False,0,0,S
False,male,18.0,Second,13.0,N/A,Titanic,False,0,0,S
False,female,21.5,Third,25.4667,N/A,Titanic,False,3,1,S
True,female,35.0,First,83.475,N/A,Titanic,False,1,0,S
False,male,29.0,Third,7.775,N/A,Titanic,False,0,0,S
False,male,59.0,Second,13.5,N/A,Titanic,False,0,0,S
True,female,5.0,Third,31.3875,N/A,Titanic,False,4,2,S
False,male,24.0,Second,10.5,N/A,Titanic,False,0,0,S
False,female,21.5,Third,7.55,N/A,Titanic,False,0,0,S
False,male,44.0,Second,26.0,N/A,Titanic,False,1,0,S
True,female,8.0,Second,26.25,N/A,Titanic,False,0,2,S
False,male,19.0,Second,10.5,N/A,Titanic,False,0,0,S
False,male,33.0,Second,12.275,N/A,Titanic,False,0,0,S
False,female,21.5,Third,14.4542,N/A,Titanic,False,1,0,C
True,female,21.5,Third,15.5,N/A,Titanic,False,1,0,Q
False,male,29.0,Second,10.5,N/A,Titanic,False,0,0,S
False,male,22.0,Third,7.125,N/A,Titanic,False,0,0,S
False,male,30.0,Third,7.225,N/A,Titanic,False,0,0,C
False,male,44.0,First,90.0,N/A,Titanic,False,2,0,Q
False,female,25.0,Third,7.775,N/A,Titanic,False,0,0,S
True,female,24.0,Second,14.5,N/A,Titanic,False,0,2,S
True,male,37.0,First,52.5542,N/A,Titanic,False,1,1,S
False,male,54.0,Second,26.0,N/A,Titanic,False,1,0,S
False,male,25.0,Third,7.25,N/A,Titanic,False,0,0,S
False,female,29.0,Third,10.4625,N/A,Titanic,False,1,1,S
False,male,62.0,First,26.55,N/A,Titanic,False,0,0,S
False,male,30.0,Third,16.1,N/A,Titanic,False,1,0,S
False,female,41.0,Third,20.2125,N/A,Titanic,False,0,2,S
True,female,29.0,Third,15.2458,N/A,Titanic,False,0,2,C
True,female,35.0,First,79.2,N/A,Titanic,False,0,0,C
True,female,30.0,First,86.5,N/A,Titanic,False,0,0,S
True,female,35.0,First,512.3292,N/A,Titanic,False,0,0,C
True,female,50.0,Second,26.0,N/A,Titanic,False,0,1,S
False,male,25.0,Third,7.75,N/A,Titanic,False,0,0,Q
True,male,3.0,Third,31.3875,N/A,Titanic,False,4,2,S
False,male,52.0,First,79.65,N/A,Titanic,False,1,1,S
False,male,40.0,First,0.0,N/A,Titanic,False,0,0,S
False,female,21.5,Third,7.75,N/A,Titanic,False,0,0,Q
False,male,36.0,Second,10.5,N/A,Titanic,False,0,0,S
False,male,16.0,Third,39.6875,N/A,Titanic,False,4,1,S
True,male,25.0,Third,7.775,N/A,Titanic,False,1,0,S
True,female,58.0,First,153.4625,N/A,Titanic,False,0,1,S
True,female,35.0,First,135.6333,N/A,Titanic,False,0,0,S
False,male,40.0,First,31.0,N/A,Titanic,False,0,0,S
True,male,25.0,Third,0.0,N/A,Titanic,False,0,0,S
True,female,41.0,Second,19.5,N/A,Titanic,False,0,1,S
False,male,37.0,First,29.7,N/A,Titanic,False,0,1,C
True,female,21.5,Third,7.75,N/A,Titanic,False,0,0,Q
True,female,63.0,First,77.9583,N/A,Titanic,False,1,0,S
False,female,45.0,Third,7.75,N/A,Titanic,False,0,0,S
False,male,30.0,Second,0.0,N/A,Titanic,False,0,0,S
False,male,7.0,Third,29.125,N/A,Titanic,False,4,1,Q
True,female,35.0,Third,20.25,N/A,Titanic,False,1,1,S
False,male,65.0,Third,7.75,N/A,Titanic,False,0,0,Q
False,male,28.0,Third,7.8542,N/A,Titanic,False,0,0,S
False,male,16.0,Third,9.5,N/A,Titanic,False,0,0,S
True,male,19.0,Third,8.05,N/A,Titanic,False,0,0,S
False,male,40.0,First,26.0,N/A,Titanic,False,0,0,S
False,male,33.0,Third,8.6625,N/A,Titanic,False,0,0,C
True,male,30.0,Third,9.5,N/A,Titanic,False,0,0,S
False,male,22.0,Third,7.8958,N/A,Titanic,False,0,0,S
True,male,42.0,Second,13.0,N/A,Titanic,False,0,0,S
True,female,22.0,Third,7.75,N/A,Titanic,False,0,0,Q
True,female,26.0,First,78.85,N/A,Titanic,False,0,0,S
True,female,19.0,First,91.0792,N/A,Titanic,False,1,0,C
False,male,36.0,Second,12.875,N/A,Titanic,False,0,0,C
False,female,24.0,Third,8.85,N/A,Titanic,False,0,0,S
False,male,24.0,Third,7.8958,N/A,Titanic,False,0,0,S
False,male,40.0,First,27.7208,N/A,Titanic,False,0,0,C
